,type,truth,RT
0,video,AI,9.82
1,video,Real,12.13
2,video,Real,0.48
3,video,AI,4.36
4,video,AI,3.38
5,audio,AI,20.13
6,audio,AI,9.33
7,audio,Real,11.81
8,audio,Real,7.67
9,audio,Real,4.4
10,video,AI,24.43
11,video,Real,13.83
12,video,Real,15.43
13,video,AI,1.6
14,video,AI,6.76
15,audio,AI,32.75
16,audio,Real,11.91
17,audio,Real,10.76
18,audio,AI,13.18
19,audio,Real,10.71
20,video,Real,21.13
21,video,AI,4.84
22,video,Real,15.44
23,video,AI,12.33
24,video,AI,4.56
25,audio,AI,12.1
26,audio,Real,8.28
27,audio,Real,15.14
28,audio,AI,0.01
29,audio,Real,13.64
30,video,AI,13.37
31,video,AI,11.67
32,video,Real,7.79
33,video,AI,11.62
34,video,Real,14.46
35,audio,AI,17.82
36,audio,AI,16.18
37,audio,Real,1.76
38,audio,Real,11.88
39,audio,Real,12.12
40,video,AI,30.64
41,video,Real,15.74
42,video,Real,14.6
43,video,AI,15.89
44,video,Real,34.99
45,audio,AI,12.76
46,audio,Real,13.72
47,audio,AI,16.66
48,audio,Real,14.83
49,audio,AI,14.08
50,video,Real,19.6
51,video,AI,9.96
52,video,Real,12.34
53,video,Real,20.49
54,video,AI,7.23
55,audio,AI,21.87
56,audio,Real,6.72
57,audio,AI,19.53
58,audio,AI,21.83
59,audio,Real,7.62
60,video,AI,3.93
61,video,Real,7.29
62,video,AI,4.66
63,video,Real,7.9
64,video,Real,9.6
65,audio,AI,7.49
66,audio,Real,9.63
67,audio,Real,6.66
68,audio,AI,9.88
69,audio,AI,7.02
70,video,AI,13.18
71,video,Real,8.09
72,video,AI,12.56
73,video,Real,18.48
74,video,AI,13.32
75,audio,Real,14.7
76,audio,AI,14.53
77,audio,Real,14.46
78,audio,Real,0.52
79,audio,AI,15.44
80,video,AI,9.04
81,video,Real,14.62
82,video,AI,5.1
83,video,Real,7.14
84,video,Real,4.85
85,audio,AI,15.1
86,audio,Real,13.45
87,audio,AI,6.81
88,audio,AI,20.78
89,audio,Real,16.4
90,video,AI,17.12
91,video,AI,4.74
92,video,Real,5.51
93,video,Real,14.27
94,video,AI,2.42
95,audio,Real,6.77
96,audio,AI,18.53
97,audio,Real,11.43
98,audio,Real,11.59
99,audio,AI,7.01
100,video,AI,6.07
101,video,Real,9.45
102,video,Real,10.09
103,video,AI,3.4
104,video,Real,6.9
105,audio,Real,5.73
106,audio,AI,2.69
107,audio,AI,3.84
108,audio,Real,3.9
109,audio,AI,8.36
110,video,AI,8.94
111,video,AI,13.71
112,video,Real,16.35
113,video,AI,13.33
114,video,Real,18.55
115,audio,Real,10.15
116,audio,Real,7.76
117,audio,AI,6.22
118,audio,Real,5.04
119,audio,AI,7.4
120,video,Real,17.16
121,video,Real,34.15
122,video,AI,11.55
123,video,AI,17.95
124,video,AI,17.71
125,audio,Real,26.07
126,audio,Real,18.2
127,audio,AI,18.7
128,audio,AI,15.72
129,audio,Real,16.36
130,video,AI,15.07
131,video,Real,15.61
132,video,AI,13.69
133,video,AI,14.31
134,video,Real,15.11
135,audio,AI,21.28
136,audio,Real,15.5
137,audio,Real,13.94
138,audio,Real,13.95
139,audio,AI,13.2
140,video,AI,7.34
141,video,Real,15.45
142,video,Real,11.34
143,video,Real,18.11
144,video,AI,5.93
145,audio,Real,6.9
146,audio,AI,8.07
147,audio,AI,5.78
148,audio,Real,6.01
149,audio,AI,16.28
150,video,AI,35.08
151,video,Real,14.14
152,video,Real,25.5
153,video,AI,0.28
154,video,Real,14.67
155,audio,Real,19.91
156,audio,AI,17.2
157,audio,AI,0.02
158,audio,Real,15.32
159,audio,AI,9.84
160,video,AI,12.13
161,video,AI,9.48
162,video,AI,14.07
163,video,Real,14.98
164,video,Real,7.85
165,audio,AI,8.37
166,audio,AI,8.02
167,audio,Real,6.97
168,audio,Real,12.33
169,audio,Real,11.3
170,video,Real,24.14
171,video,AI,15.28
172,video,AI,14.21
173,video,Real,18.01
174,video,Real,18.48
175,audio,Real,22.97
176,audio,AI,0.02
177,audio,AI,9.95
178,audio,AI,14.87
179,audio,Real,18.7
180,video,AI,15.06
181,video,Real,14.72
182,video,Real,15.07
183,video,AI,15.25
184,video,AI,6.92
185,audio,Real,14.97
186,audio,AI,16.03
187,audio,AI,14.94
188,audio,Real,16.67
189,audio,Real,13.57
190,video,Real,17.19
191,video,AI,13.8
192,video,Real,11.39
193,video,AI,15.82
194,video,AI,18.28
195,audio,Real,12.3
196,audio,Real,20.07
197,audio,Real,14.82
198,audio,AI,14.83
199,audio,AI,16.44
